DIST_ID,nodata,olddataonly,newdataonly,data
DIST-ALERT_2022027T072143_L30_T38PKR_v1,12135266,0,101,1260233
DIST-ALERT_2022007T073652_L30_T38TPP_v1,13360166,380,225,34829
DIST-ALERT_2022006T074302_L30_T38TPP_v1,13395519,0,0,81
DIST-ALERT_2022018T072753_L30_T38PKR_v1,3518851,50836,41493,9784420
DIST-ALERT_2022002T072755_L30_T38PKR_v1,6765,1649,432,13386754
DIST-ALERT_2022019T072139_L30_T38PKR_v1,12385001,0,61,1010538
DIST-ALERT_2022010T072752_L30_T38PKR_v1,133584,13508,13008,13235500
DIST-ALERT_2022003T072142_L30_T38PKR_v1,12420675,3257,0,971668
DIST-ALERT_2022016T073040_L30_T38TPP_v1,12946461,3622,2714,442803
DIST-ALERT_2022022T074258_L30_T38TPP_v1,13395600,0,0,0
DIST-ALERT_2022030T074304_L30_T38TPP_v1,13395600,0,0,0
DIST-ALERT_2022026T072747_L30_T38PKR_v1,505249,25916,347263,12517172
DIST-ALERT_2022031T073645_L30_T38TPP_v1,12981125,5834,479,408162
DIST-ALERT_2022011T071519_L30_T39STR_v1,13289321,0,106279,0
DIST-ALERT_2022003T071519_L30_T39STR_v1,11502296,171713,15264,1706327
DIST-ALERT_2022010T072130_L30_T39STR_v1,8703850,250595,86919,4354236
DIST-ALERT_2022026T072124_L30_T39STR_v1,12490584,101958,62181,740877
DIST-ALERT_2022008T064115_L30_T40TFP_v1,13377821,176,498,17105
DIST-ALERT_2022015T064724_L30_T40TFP_v1,13395581,11,0,8
DIST-ALERT_2022022T065337_L30_T40TFP_v1,13299810,2231,5537,88022
DIST-ALERT_2022019T071517_L30_T39STR_v1,6680769,60665,46928,6607238
DIST-ALERT_2022024T064115_L30_T40TFP_v1,13393806,182,466,1146
DIST-ALERT_2022018T072130_L30_T39STR_v1,1798753,21292,22985,11552570
DIST-ALERT_2022030T065329_L30_T40TFP_v1,13274897,9815,1516,109372
DIST-ALERT_2022023T064721_L30_T40TFP_v1,13359662,744,841,34353
DIST-ALERT_2022031T064727_L30_T40TFP_v1,13372341,15846,583,6830
DIST-ALERT_2022007T064725_L30_T40TFP_v1,11064593,46511,31110,2253386
DIST-ALERT_2022002T063052_L30_T41SMA_v1,13395600,0,0,0
DIST-ALERT_2022010T063052_L30_T41SMA_v1,11633739,11026,13671,1737164
DIST-ALERT_2022027T062435_L30_T41SMA_v1,2617253,42845,43608,10691894
