DIST_ID,nodata,olddataonly,newdataonly,data
DIST-ALERT_2022022T075343_L30_T36NXM_v1,11451284,12676,19978,1911662
DIST-ALERT_2022013T075957_L30_T36NXM_v1,2475847,28616,35692,10855445
DIST-ALERT_2022021T075959_L30_T36NXM_v1,7342328,259482,58057,5735733
DIST-ALERT_2022030T075349_L30_T36NXM_v1,10504598,2117,1528,2887357
DIST-ALERT_2022003T080424_L30_T37SBV_v1,13296918,728,443,97511
DIST-ALERT_2022002T081009_L30_T37SBV_v1,8758440,13887,11536,4611737
DIST-ALERT_2022011T080421_L30_T37SBV_v1,13318395,2779,1440,72986
DIST-ALERT_2022009T081619_L30_T37SBV_v1,13395471,3,25,101
DIST-ALERT_2022017T081620_L30_T37SBV_v1,11915619,9931,11395,1458655
DIST-ALERT_2022019T080422_L30_T37SBV_v1,13395600,0,0,0
DIST-ALERT_2022018T081006_L30_T37SBV_v1,12072713,26007,8736,1288144
DIST-ALERT_2022027T080415_L30_T37SBV_v1,13395600,0,0,0
DIST-ALERT_2022002T072755_L30_T38PKR_v1,6767,1649,432,13386752
DIST-ALERT_2022003T072142_L30_T38PKR_v1,12420675,3257,0,971668
DIST-ALERT_2022011T072141_L30_T38PKR_v1,12789294,1697,659,603950
DIST-ALERT_2022010T072752_L30_T38PKR_v1,133587,13509,13008,13235496
DIST-ALERT_2022018T072753_L30_T38PKR_v1,3518852,50836,41493,9784419
DIST-ALERT_2022019T072139_L30_T38PKR_v1,12385001,0,61,1010538
DIST-ALERT_2022027T072143_L30_T38PKR_v1,12135266,0,101,1260233
DIST-ALERT_2022006T074302_L30_T38TPP_v1,13314441,49,517,80593
DIST-ALERT_2022007T073652_L30_T38TPP_v1,12789168,5808,9669,590955
DIST-ALERT_2022022T074258_L30_T38TPP_v1,13394848,28,127,597
DIST-ALERT_2022030T074304_L30_T38TPP_v1,13389635,87,214,5664
DIST-ALERT_2022003T071519_L30_T39STR_v1,11502151,171749,15267,1706433
DIST-ALERT_2022011T071519_L30_T39STR_v1,13289307,0,106293,0
DIST-ALERT_2022031T073645_L30_T38TPP_v1,10643767,51218,25347,2675268
DIST-ALERT_2022016T073040_L30_T38TPP_v1,10034326,23102,28552,3309620
DIST-ALERT_2022026T072747_L30_T38PKR_v1,505252,25916,347263,12517169
DIST-ALERT_2022018T072130_L30_T39STR_v1,1794514,21404,23016,11556666
DIST-ALERT_2022010T072130_L30_T39STR_v1,8703005,250990,87045,4354560
DIST-ALERT_2022015T064724_L30_T40TFP_v1,13383909,71,837,10783
DIST-ALERT_2022007T064725_L30_T40TFP_v1,7514694,145794,171485,5563627
DIST-ALERT_2022019T071517_L30_T39STR_v1,6681945,60648,46893,6606114
DIST-ALERT_2022026T072124_L30_T39STR_v1,12490475,101982,62198,740945
DIST-ALERT_2022008T064115_L30_T40TFP_v1,13342459,343,1874,50924
DIST-ALERT_2022022T065337_L30_T40TFP_v1,12882551,14554,24858,473637
DIST-ALERT_2022024T064115_L30_T40TFP_v1,13390562,241,686,4111
DIST-ALERT_2022023T064721_L30_T40TFP_v1,13145884,9589,7513,232614
DIST-ALERT_2022031T064727_L30_T40TFP_v1,13068475,213729,7697,105699
DIST-ALERT_2022030T065329_L30_T40TFP_v1,12557073,43727,9725,785075
DIST-ALERT_2022002T063052_L30_T41SMA_v1,13395600,0,0,0
DIST-ALERT_2022010T063052_L30_T41SMA_v1,11633368,11026,13671,1737535
DIST-ALERT_2022027T062435_L30_T41SMA_v1,2617042,42845,43608,10692105
DIST-ALERT_2022019T062442_L30_T41SMA_v1,3105805,23854,22352,10243589
DIST-ALERT_2022026T063053_L30_T41SMA_v1,6357615,4112,6019,7027854
DIST-ALERT_2022007T033026_L30_T49TCF_v1,13285096,763,381,109360
DIST-ALERT_2022008T032416_L30_T49TCF_v1,9601022,167277,158536,3468765
DIST-ALERT_2022009T031804_L30_T49TCF_v1,13392381,203,789,2227
DIST-ALERT_2022023T033022_L30_T49TCF_v1,13392665,779,324,1832
DIST-ALERT_2022025T031800_L30_T49TCF_v1,13381116,688,440,13356
DIST-ALERT_2022016T032414_L30_T49TCF_v1,10203085,137546,145434,2909535
DIST-ALERT_2022002T031106_L30_T50TLP_v1,13395544,8,0,48
DIST-ALERT_2022015T033026_L30_T49TCF_v1,12584713,3753,8501,798633
DIST-ALERT_2022024T032417_L30_T49TCF_v1,13235403,9188,7413,143596
DIST-ALERT_2022010T031106_L30_T50TLP_v1,13395484,3,10,103
DIST-ALERT_2022012T025844_L30_T50TLP_v1,11769063,102925,55227,1468385
DIST-ALERT_2022003T030457_L30_T50TLP_v1,10154670,24706,46692,3169532
DIST-ALERT_2022011T030455_L30_T50TLP_v1,10464413,94219,93410,2743558
DIST-ALERT_2022018T031104_L30_T50TLP_v1,13395407,0,1,192
DIST-ALERT_2022017T031805_L30_T49TCF_v1,12906472,64631,49082,375415
DIST-ALERT_2022026T031108_L30_T50TLP_v1,13395600,0,0,0
DIST-ALERT_2022031T033028_L30_T49TCF_v1,12765676,16313,12531,601080
DIST-ALERT_2022004T025845_L30_T50TLP_v1,11942715,302,1375094,77489
DIST-ALERT_2022019T030456_L30_T50TLP_v1,11351284,74577,107516,1862223
DIST-ALERT_2022027T030449_L30_T50TLP_v1,13395371,92,33,104
DIST-ALERT_2022028T025846_L30_T50TLP_v1,13392689,105,253,2553
DIST-ALERT_2022010T015057_L30_T51KUQ_v1,5961268,50596,29802,7353934
DIST-ALERT_2022009T015707_L30_T51KUQ_v1,10113723,99,88,3281690
DIST-ALERT_2022017T015708_L30_T51KUQ_v1,10167004,138,0,3228458
DIST-ALERT_2022002T015057_L30_T51KUQ_v1,81970,66,0,13313564
DIST-ALERT_2022025T015702_L30_T51KUQ_v1,10044621,145,0,3350834
DIST-ALERT_2022009T010941_L30_T52JEN_v1,13132043,0,15,263542
DIST-ALERT_2022015T012137_L30_T52JEN_v1,13351926,15637,11645,16392
DIST-ALERT_2022023T012140_L30_T52JEN_v1,13395600,0,0,0
DIST-ALERT_2022026T015059_L30_T51KUQ_v1,739512,10203,6757,12639128
DIST-ALERT_2022007T012140_L30_T52JEN_v1,12589125,118,0,806357
DIST-ALERT_2022008T011527_L30_T52JEN_v1,0,0,0,13395600
DIST-ALERT_2022024T011523_L30_T52JEN_v1,12406483,20905,12200,956012
DIST-ALERT_2022025T010943_L30_T52JEN_v1,13079405,0,60,316135
DIST-ALERT_2022031T012132_L30_T52JEN_v1,13388222,865,315,6198
DIST-ALERT_2022006T012502_L30_T52KDD_v1,2212695,10422,26867,11145616
DIST-ALERT_2022014T012501_L30_T52KDD_v1,11373867,31299,8254,1982180
DIST-ALERT_2022013T013112_L30_T52KDD_v1,11758125,14739,181534,1441202
DIST-ALERT_2022013T020330_L30_T52TFN_v1,11251829,17718,53889,2072164
DIST-ALERT_2022005T020331_L30_T52TFN_v1,10407986,11557,12716,2963341
DIST-ALERT_2022029T020333_L30_T52TFN_v1,11917098,20924,27734,1429844
DIST-ALERT_2022014T015719_L30_T52TFN_v1,10482195,15722,19692,2877991
DIST-ALERT_2022022T015722_L30_T52TFN_v1,13109144,9017,18792,258647
DIST-ALERT_2022022T012458_L30_T52KDD_v1,12500640,28342,88362,778256
DIST-ALERT_2022002T010156_L30_T53JLM_v1,13,0,0,13395587
DIST-ALERT_2022003T005608_L30_T53JLM_v1,13391162,228,0,4210
DIST-ALERT_2022009T010806_L30_T53JLM_v1,12878218,109,0,517273
DIST-ALERT_2022011T005607_L30_T53JLM_v1,13380542,0,18,15040
DIST-ALERT_2022019T005605_L30_T53JLM_v1,13390283,0,226,5091
DIST-ALERT_2022018T010155_L30_T53JLM_v1,10606230,10737,2095,2776538
DIST-ALERT_2022010T010154_L30_T53JLM_v1,11,0,0,13395589
DIST-ALERT_2022025T010807_L30_T53JLM_v1,12951403,90,0,444107
DIST-ALERT_2022026T010149_L30_T53JLM_v1,10095143,73403,100098,3126956
DIST-ALERT_2022027T005609_L30_T53JLM_v1,13357914,0,28,37658
DIST-ALERT_2022007T011804_L30_T53LKC_v1,13041252,93,0,354255
DIST-ALERT_2022015T011802_L30_T53LKC_v1,13395600,0,0,0
DIST-ALERT_2022031T011757_L30_T53LKC_v1,13395600,0,0,0
DIST-ALERT_2022002T005821_L30_T53LNG_v1,13042112,5863,2408,345217
DIST-ALERT_2022023T011804_L30_T53LKC_v1,13368254,696,1566,25084
DIST-ALERT_2022017T010428_L30_T53LNG_v1,13391135,3,79,4383
DIST-ALERT_2022009T010430_L30_T53LNG_v1,9326973,8748,26412,4033467
DIST-ALERT_2022018T005819_L30_T53LNG_v1,12329384,5348,4632,1056236
DIST-ALERT_2022010T005818_L30_T53LNG_v1,13395600,0,0,0
DIST-ALERT_2022024T011148_L30_T53LKC_v1,12665128,15682,24303,690487
DIST-ALERT_2022023T003344_L30_T54HUF_v1,13344066,232,1623,49679
DIST-ALERT_2022024T002739_L30_T54HUF_v1,13245830,2888,768,146114
DIST-ALERT_2022015T003347_L30_T54HUF_v1,10519223,4971,3186,2868220
DIST-ALERT_2022008T002738_L30_T54HUF_v1,12816026,63,593,578918
DIST-ALERT_2022016T002735_L30_T54HUF_v1,7819805,29576,52406,5493813
DIST-ALERT_2022004T235645_L30_T55HFB_v1,6841865,23083,14556,6516096
DIST-ALERT_2022008T011152_L30_T53LKC_v1,9150845,10321,19573,4214861
DIST-ALERT_2022013T235031_L30_T55HFB_v1,13265718,3384,1358,125140
DIST-ALERT_2022016T011152_L30_T53LKC_v1,11191878,20539,14337,2168846
DIST-ALERT_2022005T235032_L30_T55HFB_v1,11908593,4104,5408,1477495
DIST-ALERT_2022021T235028_L30_T55HFB_v1,11770693,6989,9693,1608225
DIST-ALERT_2022028T235636_L30_T55HFB_v1,13394524,421,79,576
DIST-ALERT_2022012T235642_L30_T55HFB_v1,9262511,59205,48924,4024960
DIST-ALERT_2022029T235034_L30_T55HFB_v1,12039881,29284,13852,1312583
DIST-ALERT_2022019T000705_L30_T55JEK_v1,12507082,21403,12058,855057
DIST-ALERT_2022003T000707_L30_T55JEK_v1,927478,137,1,12467984
DIST-ALERT_2022031T003350_L30_T54HUF_v1,7577225,11836,12060,5794479
DIST-ALERT_2022027T000659_L30_T55JEK_v1,12495224,11007,8840,880529
DIST-ALERT_2022020T235420_L30_T55JGM_v1,13345271,224,24798,25307
DIST-ALERT_2022004T235421_L30_T55JGM_v1,6261,54,8019823,5369462
DIST-ALERT_2022012T235418_L30_T55JGM_v1,461776,2128,7740450,5191246
DIST-ALERT_2022028T235413_L30_T55JGM_v1,9604833,36038,2954447,800282
DIST-ALERT_2022020T235644_L30_T55HFB_v1,10143368,26415,19961,3205856
